Feature;Direction
ENSG00000181609_at;1
ENSG00000258588_at;1
ENSG00000049759_at;1
ENSG00000146039_at;1
ENSG00000173212_at;1
ENSG00000197386_at;1
ENSG00000122565_at;1
ENSG00000091164_at;1
ENSG00000115241_at;1
ENSG00000065615_at;1
ENSG00000187790_at;1
ENSG00000075292_at;1
ENSG00000187608_at;1
ENSG00000131966_at;1
ENSG00000173418_at;1
ENSG00000039560_at;1
ENSG00000150753_at;1
ENSG00000169550_at;1
ENSG00000164346_at;1
ENSG00000198887_at;1
ENSG00000162692_at;1
ENSG00000136237_at;1
ENSG00000105967_at;1
ENSG00000099940_at;1
ENSG00000101596_at;1
ENSG00000116830_at;1
ENSG00000083642_at;1
ENSG00000171863_at;1
ENSG00000092203_at;1
ENSG00000135336_at;1
ENSG00000151615_at;1
ENSG00000150093_at;1
ENSG00000092140_at;1
ENSG00000099968_at;1
ENSG00000124795_at;1
ENSG00000118508_at;1
ENSG00000178105_at;1
ENSG00000126391_at;1
ENSG00000166349_at;1
ENSG00000213614_at;1
ENSG00000170191_at;1
ENSG00000204209_at;1
ENSG00000100632_at;1
ENSG00000206206_at;1
ENSG00000161996_at;1
ENSG00000166479_at;1
ENSG00000170948_at;1
ENSG00000197969_at;1
ENSG00000170923_at;1
ENSG00000134489_at;1
ENSG00000227046_at;1
ENSG00000198833_at;1
ENSG00000172175_at;1
ENSG00000229396_at;1
ENSG00000101193_at;1
ENSG00000179008_at;1
ENSG00000144331_at;1
ENSG00000183091_at;1
ENSG00000134748_at;1
ENSG00000160396_at;1
ENSG00000197771_at;1
ENSG00000004866_at;1
ENSG00000125414_at;1
ENSG00000141622_at;1
ENSG00000136448_at;1
ENSG00000116560_at;1
ENSG00000123737_at;1
ENSG00000128245_at;1
ENSG00000116750_at;1
ENSG00000184979_at;1
ENSG00000183431_at;1
ENSG00000087470_at;1
ENSG00000170540_at;1
ENSG00000176495_at;1
ENSG00000151694_at;1
ENSG00000110395_at;1
ENSG00000183856_at;1
ENSG00000175544_at;1
ENSG00000151665_at;1
ENSG00000105063_at;1
ENSG00000180089_at;1
ENSG00000205268_at;1
ENSG00000125676_at;1
ENSG00000047230_at;1
ENSG00000127125_at;1
ENSG00000154310_at;1
ENSG00000189377_at;1
ENSG00000134326_at;1
ENSG00000180090_at;1
ENSG00000160181_at;1
ENSG00000172680_at;1
ENSG00000160710_at;1
ENSG00000108423_at;1
ENSG00000101412_at;1
ENSG00000113525_at;1
ENSG00000150672_at;1
ENSG00000144214_at;1
ENSG00000156973_at;1
ENSG00000138688_at;1
ENSG00000141404_at;1
ENSG00000145916_at;1
ENSG00000171566_at;1
ENSG00000119414_at;1
ENSG00000057663_at;1
ENSG00000139350_at;1
ENSG00000010818_at;1
ENSG00000132963_at;1
ENSG00000109689_at;1
ENSG00000163029_at;1
ENSG00000145907_at;1
ENSG00000163938_at;1
ENSG00000065923_at;1
ENSG00000125107_at;1
ENSG00000108010_at;1
ENSG00000171522_at;1
ENSG00000058063_at;1
ENSG00000149571_at;1
ENSG00000043093_at;1
ENSG00000120925_at;1
ENSG00000154473_at;1
ENSG00000121634_at;1
ENSG00000197045_at;1
ENSG00000120837_at;1
ENSG00000111911_at;1
ENSG00000198400_at;1
ENSG00000284953_at;1
ENSG00000288295_at;1
